"","Group.1","Group.2","年龄","BMI","腰围","臀围","HDL","LDL","CHOL","TG","ALT","AST","GGT","糖化血红蛋白"
"1","无","男","62.72±7.13","22.89±2.7","82.46±6.66","90.63±4.48","1.18±0.28","2.59±0.69","4.43±0.9","1.72±1.69","20.48±7.69","22.44±5.51","24.18±12.49","6.16±0.82"
"2","有","男","62±7.67","27.05±2.28","94.79±3.76","98.25±4.31","1.08±0.24","2.71±0.8","4.52±0.95","1.8±0.79","22.27±8.38","22.2±5.51","28.33±11.2","6.33±0.64"
"3","无","女","56.26±7.49","22.44±2.86","78.92±7.67","89.89±5.81","1.45±0.32","2.88±0.7","4.98±0.94","1.46±0.87","17.74±5.82","21.37±4.09","18.96±8.3","6.02±0.71"
"4","有","女","57.5±6.17","25.88±2.91","88.14±6.77","94.93±5.93","1.17±0.29","2.84±0.89","4.9±1.15","2.09±1","20.52±7.58","21.41±4.91","21.98±8.45","6.15±0.52"
