"","否","是","ZBF","ZBT","合并","合并2"
"男",50,117,0.29940119760479,0.70059880239521,"50(29.94%)","117(70.06%)"
"女",38,90,0.296875,0.703125,"38(29.69%)","90(70.31%)"
"无",84,160,0.344262295081967,0.655737704918033,"84(34.43%)","160(65.57%)"
"有",4,47,0.0784313725490196,0.92156862745098,"4(7.84%)","47(92.16%)"
"无.1",79,172,0.314741035856574,0.685258964143426,"79(31.47%)","172(68.53%)"
"有.1",9,35,0.204545454545455,0.795454545454545,"9(20.45%)","35(79.55%)"
"无.2",83,153,0.351694915254237,0.648305084745763,"83(35.17%)","153(64.83%)"
"有.2",5,54,0.0847457627118644,0.915254237288136,"5(8.47%)","54(91.53%)"
